001. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 1 may overlap under last-wins semantics
002. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 2 may overlap under last-wins semantics
003. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 3 may overlap under last-wins semantics
004. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 4 may overlap under last-wins semantics
005. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 2 may overlap under last-wins semantics
006. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 3 may overlap under last-wins semantics
007. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 4 may overlap under last-wins semantics
008. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 2 and 3 may overlap under last-wins semantics
009. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 2 and 4 may overlap under last-wins semantics
010. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 3 and 4 may overlap under last-wins semantics
011. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 1 may overlap under last-wins semantics
012. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 2 may overlap under last-wins semantics
013. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 3 may overlap under last-wins semantics
014. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 4 may overlap under last-wins semantics
015. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 2 may overlap under last-wins semantics
016. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 3 may overlap under last-wins semantics
017. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 4 may overlap under last-wins semantics
018. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 2 and 3 may overlap under last-wins semantics
019. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 2 and 4 may overlap under last-wins semantics
020. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 3 and 4 may overlap under last-wins semantics
021. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 4 may overlap under last-wins semantics
022. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 0 and 5 may overlap under last-wins semantics
023. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 2 may overlap under last-wins semantics
024. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 3 may overlap under last-wins semantics
025. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 1 and 5 may overlap under last-wins semantics
026. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 2 and 3 may overlap under last-wins semantics
027. [Severity.WARNING] NO_CODE | NO_ATTR | modifiers 2 and 5 may overlap under last-wins semantics
